Period,TotalTourists
2012-01-01,1764000
2012-02-01,1791000
2012-03-01,2197000
2012-04-01,3148000
2012-05-01,3629000
2012-06-01,3289000
2012-07-01,3522000
2012-08-01,3933000
2012-09-01,3082000
2012-10-01,2910000
2012-11-01,2187000
2012-12-01,1900000
2013-01-01,1690000
2013-02-01,1791000
2013-03-01,2243000
2013-04-01,2914000
2013-05-01,3796000
2013-06-01,3333000
2013-07-01,3737000
2013-08-01,4179000
2013-09-01,3157000
2013-10-01,2921000
2013-11-01,2278000
2013-12-01,2012000
2014-01-01,1826000
2014-02-01,1895000
2014-03-01,2410000
2014-04-01,3162000
2014-05-01,3626000
2014-06-01,3868000
2014-07-01,3700000
2014-08-01,4281000
2014-09-01,3368000
2014-10-01,3270000
2014-11-01,2331000
2014-12-01,2118000
2015-01-01,1889000
2015-02-01,2106000
2015-03-01,2373000
2015-04-01,3272000
2015-05-01,4036000
2015-06-01,3617000
2015-07-01,4079000
2015-08-01,4449000
2015-09-01,3316000
2015-10-01,3401000
2015-11-01,2522000
2015-12-01,2258000
2016-01-01,2048000
2016-02-01,2324000
2016-03-01,2704000
2016-04-01,3278000
2016-05-01,4165000
2016-06-01,3526000
2016-07-01,4085000
2016-08-01,4527000
2016-09-01,3675000
2016-10-01,3615000
2016-11-01,2571000
2016-12-01,2365000
2017-01-01,2352000
2017-02-01,2326000
2017-03-01,2849000
2017-04-01,3942000
2017-05-01,4215000
2017-06-01,4286000
2017-07-01,4414000
2017-08-01,4661000
2017-09-01,3837000
2017-10-01,3823000
2017-11-01,2818000
2017-12-01,2711000
2018-01-01,2504000
2018-02-01,2490000
2018-03-01,3133000
2018-04-01,3907000
2018-05-01,4567000
2018-06-01,4210000
2018-07-01,4546000
2018-08-01,4947000
2018-09-01,3991000
2018-10-01,3967000
2018-11-01,2959000
2018-12-01,2692000
2019-01-01,2458000
2019-02-01,2565000
2019-03-01,3289000
2019-04-01,4307000
2019-05-01,4193000
2019-06-01,4894000
2019-07-01,4704000
2019-08-01,5143000
2019-09-01,4165000
2019-10-01,4087000
2019-11-01,3194000
2019-12-01,2918000
2020-01-01,2654000
2020-02-01,2100000
2020-03-01,800000
2020-04-01,50000
2020-05-01,45000
2020-06-01,120000
2020-07-01,300000
2020-08-01,450000
2020-09-01,380000
2020-10-01,420000
2020-11-01,390000
2020-12-01,410000
2021-01-01,380000
2021-02-01,400000
2021-03-01,650000
2021-04-01,900000
2021-05-01,1100000
2021-06-01,1300000
2021-07-01,1800000
2021-08-01,2100000
2021-09-01,1900000
2021-10-01,2000000
2021-11-01,1850000
2021-12-01,1950000
2022-01-01,2100000
2022-02-01,2300000
2022-03-01,2800000
2022-04-01,3200000
2022-05-01,3500000
2022-06-01,3800000
2022-07-01,4100000
2022-08-01,4300000
2022-09-01,3900000
2022-10-01,3700000
2022-11-01,3200000
2022-12-01,3000000
2023-01-01,3100000
2023-02-01,3300000
2023-03-01,3700000
2023-04-01,4000000
2023-05-01,4200000
2023-06-01,4500000
2023-07-01,4700000
2023-08-01,4900000
2023-09-01,4400000
2023-10-01,4200000
2023-11-01,3800000
2023-12-01,3500000
2024-01-01,3600000
2024-02-01,3800000
